"","partij","Er moeten meer woningen gebouwd worden, ook als dat ten koste gaat van groen","Bij het bouwen van woningen moeten sociale huurwoningen prioriteit krijgen","Er moet meer geld naar wegen, zelfs als daardoor minder geld overblijft voor het openbaar vervoer","Ondernemers moeten klanten kunnen weigeren die zich niet hebben laten vaccineren tegen corona","Zwarte piet is racistisch","Nederland moet excuses maken voor het slavernijverleden","Ook na de coronacrisis moet er meer geld naar kunst en cultuur","Het belastingtarief voor de hoogste inkomens moet omhoog","Er moet meer geld naar armoedebestrijding in Nederland, ook als daardoor de belastingen omhoog gaan","Om de pensioenen (AOW) betaalbaar te houden, mag de pensioenleeftijd omhoog als de levensverwachting stijgt","De bijstandsuitkering moet minder snel stijgen dan het minimumloon","De klimaatcrisis wordt overdreven","Om de uitstoot van stikstof te verminderen, moet de veestapel fors inkrimpen","Er moet strengere klimaatwetgeving komen, zelfs als dit economische groei in de weg staat","Nederland moet meer kerncentrales bouwen","Abortus moet makkelijker worden gemaakt","Leraren in het basisonderwijs moeten evenveel betaald krijgen als docenten in het voortgezet onderwijs","Competitie tussen zorgaanbieders verbetert de kwaliteit van de zorg","Scholen mogen geen leerlingen meer weigeren op basis van geloof (acceptatieplicht)","Het eigen risico moet worden afgeschaft, ook als mensen zich daardoor minder bewust zijn van de kosten van de zorg","De islam vormt een bedreiging voor de Nederlandse waarden","Er zijn te veel immigranten in Nederland","Nederland moet meer vluchtelingen opvangen","Er moet meer geld naar ontwikkelingssamenwerking","Het lidmaatschap van de Europese Unie is tot nu toe vooral slecht geweest voor Nederland","Als armere EU-landen begrotingsproblemen hebben, dan moet Nederland hen financieel ondersteunen","Er moet meer geld komen voor Defensie","Rechters moeten vaker gevangenisstraffen opleggen in plaats van taakstraffen","De privacy van burgers mag worden beperkt om de nationale veiligheid te vergroten","Wietteelt moet legaal worden"
"1","BIJ1","1","5","1","5","5","1","1","4","5","5","5","1","5","5","1","5","5","1","5","5","1","1","5","5","2","5","1","1","1","5"
"2","PvdD","1","5","1","5","5","1","1","1","5","5","5","1","5","5","1","4","5","1","5","5","1","2","5","5","3","3","1","1","1","5"
"3","SP","3","5","1","5","5","1","1","2","3","4","5","1","5","4","1","3","5","1","5","5","2","2","4","5","3","4","1","2","3","5"
"4","GL","2","4","1","5","4","4","1","3","5","5","5","1","5","4","2","5","5","2","5","4","2","2","4","5","2","4","2","2","3","5"
"5","PvdA","2","4","2","5","5","4","1","2","4","4","5","1","4","4","2","5","5","2","5","4","2","2","4","4","2","4","4","2","3","4"
"6","DENK","4","4","2","4","5","2","1","1","5","5","4","2","5","3","2","2","4","2","5","5","1","1","5","4","2","4","1","2","2","3"
"7","Volt","1","2","1","5","3","4","2","3","5","5","5","1","5","5","4","5","3","3","5","2","2","1","5","5","1","5","4","1","2","5"
"8","D66","2","3","1","4","4","4","4","4","4","5","4","1","5","4","3","5","5","4","5","2","2","2","4","5","1","4","4","2","3","5"
"9","CU","3","4","1","4","4","4","2","2","3","4","3","1","3","4","3","1","5","2","1","2","3","3","4","5","2","4","5","2","3","1"
"10","50PLUS","4","4","2","4","4","1","2","4","4","2","4","2","4","2","3","2","2","3","5","4","4","3","2","2","2","1","4","5","4","4"
"11","PVV","4","4","4","4","4","1","4","1","1","1","1","5","1","1","4","2","5","2","4","5","5","5","1","1","5","1","4","5","2","2"
"12","CDA","4","2","3","4","4","4","4","2","2","2","4","2","2","2","4","2","4","2","2","2","2","4","2","4","1","2","5","5","4","1"
"13","BBB","4","2","3","4","4","2","4","1","2","2","2","4","1","1","5","2","1","1","5","2","3","4","2","2","3","1","5","4","3","5"
"14","SGP","4","3","3","1","2","4","4","1","1","2","2","4","2","2","4","1","4","2","1","2","4","4","2","4","3","2","5","4","4","1"
"15","VVD","4","2","4","2","2","4","4","4","2","2","2","2","2","2","5","4","3","4","5","2","3","4","1","1","1","2","5","5","4","2"
"16","JA21","4","2","3","2","2","2","5","3","1","1","2","4","1","1","5","2","2","3","3","2","4","5","1","1","4","1","5","5","3","4"
"17","FVD","3","1","5","1","2","1","5","1","1","1","2","5","1","1","5","2","2","3","2","2","5","5","1","1","5","1","5","5","2","4"
